Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d. Aisch/An der Weißen Marter,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Regensburger Straße,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
03.05.2022 09:00,4,17,29,33,43,28,17,2,5,18,42,12,14,14,3,23,45,42,17,13,20,36,24,21,12,28,30,75,29,54,41,23,6,44,44,    # ,12,17,47,28,34,17,25,13,31,3,5,19,53
03.05.2022 10:00,3,17,18,28,41,24,11,6,8,17,35,10,10,7,3,14,38,28,11,10,21,25,23,16,8,14,22,67,20,47,20,12,5,35,43,    # ,10,16,45,17,28,13,16,11,13,3,5,22,52
03.05.2022 11:00,3,9,13,21,30,17,7,10,8,15,25,9,8,4,3,9,26,22,9,7,23,12,25,15,7,8,20,70,15,36,13,8,5,20,26,    # ,9,13,39,18,21,11,12,11,10,2,5,13,35
03.05.2022 12:00,3,9,11,19,28,14,6,5,5,11,24,5,8,4,3,7,19,16,8,3,17,8,18,16,7,11,13,55,15,34,9,8,4,17,19,    # ,5,8,35,14,20,13,21,8,7,2,4,13,30
03.05.2022 13:00,3,6,8,16,46,14,7,2,5,9,28,4,6,4,3,7,15,10,8,3,12,8,18,20,5,11,11,57,18,33,11,6,5,17,15,    # ,5,6,40,18,21,13,17,10,6,2,4,16,44
03.05.2022 14:00,3,11,8,17,38,13,5,2,4,12,27,4,5,5,3,7,16,10,14,5,8,11,15,13,4,8,9,40,15,30,6,4,4,20,12,    # ,6,8,42,19,22,13,12,8,11,3,3,20,26
03.05.2022 15:00,3,11,9,10,24,12,3,3,5,9,25,4,6,4,5,7,22,8,13,5,4,9,22,17,4,8,8,39,12,27,7,4,4,27,12,60,8,6,44,11,30,10,10,9,8,3,2,23,26
03.05.2022 16:00,4,22,28,16,49,19,4,5,7,12,17,4,8,6,5,9,26,6,10,4,8,9,14,17,4,7,10,48,11,28,7,4,5,50,18,81,7,6,64,17,20,13,9,13,11,4,2,18,51
03.05.2022 17:00,4,41,22,16,46,20,5,24,7,13,16,5,7,6,3,8,24,6,8,6,14,10,9,18,5,9,9,74,11,40,11,5,4,31,18,72,5,9,57,11,23,14,7,14,9,3,3,17,63
03.05.2022 18:00,3,30,27,17,38,13,5,7,8,23,15,6,8,7,3,7,17,7,5,4,6,9,10,17,5,9,11,61,11,37,14,7,4,27,9,66,10,6,53,12,11,13,12,13,8,3,5,15,44
03.05.2022 19:00,4,13,17,16,36,12,6,1,7,17,15,8,14,10,6,7,15,7,6,5,10,11,17,23,6,9,13,71,17,26,29,7,4,19,10,51,15,14,32,19,13,12,11,19,8,4,12,15,34
03.05.2022 20:00,4,31,45,12,15,13,7,1,14,33,16,7,26,6,8,10,14,14,10,11,11,16,19,17,10,9,11,89,21,47,42,9,4,24,15,53,25,19,15,41,23,10,16,18,15,4,12,24,28
03.05.2022 21:00,5,26,72,13,17,15,7,4,8,17,37,8,22,9,4,12,20,20,14,12,9,15,16,28,9,10,8,88,20,40,36,14,4,32,19,62,30,36,22,53,21,13,27,18,15,4,14,34,23
03.05.2022 22:00,4,18,74,12,22,16,10,2,6,24,49,5,21,13,4,14,25,18,14,8,8,12,26,23,11,12,11,61,15,30,17,9,5,41,32,67,21,23,23,56,19,21,29,14,6,5,20,25,32
03.05.2022 23:00,3,17,66,15,22,18,13,6,9,30,31,7,23,12,2,14,27,14,13,8,10,34,18,10,13,15,14,55,20,33,16,11,6,36,43,50,15,20,28,41,23,13,24,11,6,5,8,19,32
03.05.2022 24:00,4,37,56,12,11,9,7,1,6,31,35,8,13,10,3,12,20,22,6,7,8,22,12,10,11,15,15,58,24,33,23,12,9,38,44,49,15,19,38,33,12,15,17,15,8,4,7,30,31
04.05.2022 01:00,4,38,55,8,12,9,6,0,5,21,24,9,7,15,2,11,23,22,8,11,8,32,10,7,6,8,14,38,18,17,13,8,8,31,54,38,19,22,22,25,16,13,28,10,5,4,12,23,19
04.05.2022 02:00,3,13,46,13,12,10,10,0,10,23,24,10,6,11,3,11,15,11,7,9,8,23,11,7,5,7,19,29,18,17,14,9,7,23,42,49,20,22,19,28,15,13,29,9,6,4,12,23,16
04.05.2022 03:00,3,14,36,23,19,19,12,0,8,27,22,13,6,10,2,10,22,10,12,5,9,23,9,6,5,9,9,29,13,15,16,15,11,26,33,40,17,22,22,22,11,14,30,11,16,4,3,29,18
04.05.2022 04:00,2,15,38,32,30,37,13,0,5,18,21,12,12,11,3,26,33,14,17,5,8,22,12,6,6,8,10,39,16,26,17,14,13,27,41,46,19,21,24,31,39,21,28,11,23,3,3,31,27
04.05.2022 05:00,2,23,38,30,35,39,23,0,5,29,26,11,27,12,3,41,38,25,18,9,13,37,15,10,8,16,13,67,23,29,26,17,15,30,41,49,21,15,29,35,37,22,29,18,38,4,10,27,34
04.05.2022 06:00,2,37,38,28,45,40,29,1,6,38,31,20,34,16,7,42,45,36,17,17,27,43,33,17,14,29,31,88,32,42,39,23,10,35,38,52,28,12,39,39,42,24,28,19,41,3,21,41,59
04.05.2022 07:00,4,37,29,32,46,37,26,3,9,31,36,13,29,21,12,39,48,43,24,29,28,41,37,28,16,24,22,84,37,36,44,19,8,46,47,65,24,33,44,35,52,22,26,24,58,3,34,41,68
04.05.2022 08:00,3,43,28,22,36,31,19,4,5,33,43,12,11,18,9,28,45,37,19,31,25,40,36,23,8,20,28,87,37,37,36,11,7,34,48,70,15,25,56,37,42,23,14,18,24,3,34,35,60
04.05.2022 09:00,4,30,23,17,29,25,19,9,13,26,40,11,9,16,5,24,40,15,27,25,19,19,26,17,6,11,23,85,25,35,30,15,8,24,39,72,13,21,41,28,40,20,18,10,21,    # ,14,35,37
04.05.2022 10:00,4,19,18,13,36,15,9,17,9,15,15,9,7,15,5,11,29,12,20,22,15,14,22,16,8,11,14,69,20,37,22,11,9,22,25,57,10,15,46,28,46,16,13,8,20,    # ,27,16,26
04.05.2022 11:00,3,21,17,8,20,13,5,5,5,12,15,8,6,9,6,11,26,11,10,11,12,10,12,14,6,8,13,89,15,33,20,10,9,23,28,47,7,16,46,14,32,13,10,9,24,    # ,22,11,26
04.05.2022 12:00,3,22,14,7,18,9,5,4,5,11,11,13,8,6,4,8,35,14,13,6,11,7,15,15,7,7,17,85,14,40,10,8,7,12,17,48,6,8,40,12,24,14,7,12,20,    # ,28,9,24
04.05.2022 13:00,3,18,12,7,20,9,4,7,5,13,15,7,6,6,3,11,33,16,16,6,10,7,8,17,7,11,10,90,20,42,8,11,7,11,18,45,8,7,57,10,21,12,10,6,12,    # ,6,7,46
04.05.2022 14:00,3,21,12,10,38,17,5,2,4,13,13,3,14,8,3,10,27,10,17,6,9,8,10,14,6,19,14,92,21,43,7,11,5,17,16,21,6,5,51,10,26,7,9,10,14,    # ,3,8,40
04.05.2022 15:00,2,43,9,10,34,17,5,13,4,15,19,5,11,6,4,9,25,13,13,4,8,10,17,14,5,10,7,87,16,26,25,11,4,27,22,45,4,7,54,10,33,16,14,12,17,3,5,19,54
04.05.2022 16:00,3,23,9,11,44,22,6,15,5,33,35,5,8,8,4,12,39,13,13,5,9,24,21,17,6,8,12,85,13,37,31,8,5,36,26,55,9,6,57,12,34,13,11,16,20,3,3,20,24
04.05.2022 17:00,5,14,8,36,53,31,13,15,5,21,28,9,15,6,5,14,32,12,15,7,10,12,16,23,5,12,23,83,13,39,27,7,4,23,15,58,5,8,53,9,32,12,14,18,25,3,4,20,28
04.05.2022 18:00,4,23,7,23,31,25,9,10,5,23,39,5,22,9,5,14,22,16,14,12,9,10,15,16,6,10,14,72,24,47,24,5,4,21,8,52,10,9,45,13,23,18,9,18,17,3,5,26,20
04.05.2022 19:00,4,14,8,18,25,21,12,2,7,18,30,4,22,8,5,17,20,15,14,6,7,14,14,19,8,17,11,90,32,48,23,5,5,18,9,61,8,12,40,26,22,13,35,21,13,3,11,23,23
04.05.2022 20:00,4,22,7,20,26,20,12,2,7,14,44,4,11,6,7,20,24,13,16,7,9,11,18,17,7,15,15,54,26,29,12,9,6,21,16,60,6,10,15,21,36,11,32,14,27,3,4,25,18
04.05.2022 21:00,4,20,7,12,21,10,9,1,6,17,33,7,7,7,2,21,33,22,13,11,11,17,13,13,6,12,16,67,22,23,17,11,6,45,27,54,10,12,12,15,38,13,29,13,16,3,5,29,22
